CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['OPS', '3367', 'A']
OBJECT_ID 	= ['OPS', '3367', 'A']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 37520.0	1480.3413259922988 3674.523088533155 5988.428163046799 4.192860907135279 4.723492354873578 -3.9456577251076324
59945 37530.0	1522.214684315473 3721.5995346099016 5948.618124121114 4.1766720893588785 4.68364791319408 -4.00997932127084
59945 37540.0	1563.922612375423 3768.2735888567727 5908.167542202197 4.1600327755077515 4.6432977596928415 -4.073869252732097
59945 37550.0	1605.460611404533 3814.5402225615258 5867.080812729559 4.142944760524928 4.602446240060642 -4.137320635595792
59945 37560.0	1646.824201441198 3860.394451556758 5825.362399714508 4.125409887670416 4.5610977539911035 -4.2003266332571565
59945 37570.0	1688.0089217639816 3905.831336699504 5783.016835293521 4.107430048343322 4.519256754756961 -4.262880457061056
59945 37580.0	1729.0103314180392 3950.845984450887 5740.048719180315 4.089007181859614 4.476927748687204 -4.324975367099842
59945 37590.0	1769.8240096595903 3995.433547362396 5696.462718191246 4.070143275258678 4.43411529471836 -4.386604672884808
59945 37600.0	1810.4455564770758 4039.5892246438298 5652.263565681009 4.050840363069456 4.390824003858808 -4.447761734132081
59945 37610.0	1850.8705930168337 4083.308262624161 5607.456061070014 4.031100527114145 4.347058538744643 -4.508439961402541
59945 37620.0	1891.0947620956042 4126.5859553045475 5562.045069269039 4.010925896265358 4.302823613096099 -4.568632816871039
59945 37630.0	1931.113728653383 4169.4176448436565 5516.035520158278 3.990318646224904 4.258123991228736 -4.62833381500391
59945 37640.0	1970.9231802286051 4211.798722064594 5469.432408032182 3.969280999285604 4.212964487532516 -4.687536523268343
59945 37650.0	2010.5188274061934 4253.724626930215 5422.240791065959 3.947815224100959 4.16734996597319 -4.746234562799597
59945 37660.0	2049.8964043186043 4295.19084907194 5374.465790709325 3.925923635419948 4.121285339524565 -4.804421609145056
59945 37670.0	2089.051669057292 4336.192928220955 5326.112591176707 3.903608593863737 4.0747755696953085 -4.862091392873657
59945 37680.0	2127.980404171454 4376.726454728957 5277.186438822886 3.8808725056483184 4.027825665946333 -4.919237700312774
59945 37690.0	2166.6784170881683 4416.787070003523 5227.692641604294 3.8577178223445774 3.9804406851919607 -4.975854374167227
59945 37700.0	2205.1415406047404 4456.37046701597 5177.636568439748 3.834147040589884 3.932625731205719 -5.031935314242528
59945 37710.0	2243.365633289828 4495.472390711919 5127.023648677057 3.8101627018472772 3.884385954128744 -5.087474478032713
59945 37720.0	2281.346579966319 4534.088638503586 5075.859371444594 3.785767392109 3.8357265498692183 -5.1424658814258315
59945 37730.0	2319.080292136944 4572.215060700232 5024.149285066271 3.7609637416279096 3.7866527595636392 -5.196903599323968
59945 37740.0	2356.5627084305015 4609.8475609568895 4971.898996439381 3.7357544246296426 3.7371698690037123 -5.250781766291317
59945 37750.0	2393.7897950250795 4646.982096697207 4919.114170433584 3.7101421590331194 3.687283208084415 -5.304094577167335
59945 37760.0	2430.7575461009737 4683.61467956313 4865.800529237945 3.6841297061442937 3.636998150203892 -5.356836287720513
59945 37770.0	2467.4619842575307 4719.741375825524 4811.963851747607 3.6577198703672424 3.5863201117019683 -5.409001215248396
59945 37780.0	2503.8991609463196 4755.358306808308 4757.609972916903 3.6309154988972523 3.535254551267944 -5.460583739199097
59945 37790.0	2540.0651568786525 4790.461649284479 4702.744783139811 3.603719481425724 3.483806969375083 -5.511578301754409
59945 37800.0	2575.9560824806126 4825.047635915451 4647.374227547902 3.5761347498025406 3.4319829076386292 -5.561979408477993
59945 37810.0	2611.5680782652944 4859.112555607058 4591.504305422588 3.5481642777533606 3.379787948282064 -5.611781628844797
59945 37820.0	2646.8973152839158 4892.65275393895 4535.141069476351 3.519811080530199 3.327227713481449 -5.660979596879459
59945 37830.0	2681.939995504343 4925.664633521164 4478.290625235326 3.4910782146109005 3.274307864805576 -5.709568011690816
59945 37840.0	2716.6923522543084 4958.144654409253 4420.959130307964 3.4619687773396786 3.221034102550716 -5.757541638094507
59945 37850.0	2751.1506505810544 4990.08933443748 4363.152793777379 3.4324859066284468 3.167412165191506 -5.804895307117475
59945 37860.0	2785.3111876840526 5021.495249617655 4304.87787546373 3.4026327805907948 3.1134478287117187 -5.851623916601501
59945 37870.0	2819.170293295042 5052.3590344855875 4246.140685261198 3.3724126172120217 3.0591469060053513 -5.89772243173183
59945 37880.0	2852.7243300757277 5082.677382460777 4186.947582434568 3.3418286739970715 3.0045152462410094 -5.943185885587818
59945 37890.0	2885.969693991031 5112.447046180947 4127.304974946921 3.3108842476328597 2.9495587342558838 -5.988009379658309
59945 37900.0	2918.902814725419 5141.664837871991 4067.2193186988475 3.279582673603202 2.894283289868935 -6.032188084412861
59945 37910.0	2951.5201560224305 5170.327629645938 4006.6971168932814 3.24792732586725 2.838694867310673 -6.075717239767093
59945 37920.0	2983.8182160959377 5198.432353859742 3945.7449192592358 3.215921616463062 2.7827994545237758 -6.118592155642308
59945 37930.0	3015.793527974147 5225.976003411315 3884.369321386749 3.1835689951675517 2.726603072566767 -6.160808212432708
59945 37940.0	3047.4426599020844 5252.955632083265 3822.576963939844 3.1508729490908625 2.670111774906533 -6.202360861547914
59945 37950.0	3078.762215667032 5279.368354816811 3760.3745320043945 3.1178370023401936 2.613331646835198 -6.243245625851272
