CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['THOR', 'AGENA', 'D', 'RB']
OBJECT_ID 	= ['THOR', 'AGENA', 'D', 'RB']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 36970.0	-3289.0668102411087 3744.290910857187 5138.821574692845 -2.194551552997772 5.0427603270521 -5.045191239319927
59945 36980.0	-3310.8031939247885 3794.419034712888 5088.18150852554 -2.1587706764180368 5.001872889025427 -5.100652653698004
59945 36990.0	-3332.182785671274 3844.1396237433382 5036.987106174673 -2.1227571109063756 4.9604454422805295 -5.155559959198459
59945 37000.0	-3353.203233831284 3893.447257336878 4985.2438516463835 -2.0865147544388516 4.918482474332269 -5.209907209395431
59945 37010.0	-3373.862225088892 3942.3365584288626 4932.957289451463 -2.050047529807423 4.875988530697554 -5.263688518488053
59945 37020.0	-3394.157484744096 3990.8021941394736 4880.133023990367 -2.013359384166931 4.832968214370301 -5.316898061981028
59945 37030.0	-3414.0867769724746 4038.838876363348 4826.776718975668 -1.976454288610852 4.789426185325982 -5.369530077310077
59945 37040.0	-3433.6479050725925 4086.4413623344262 4772.894096871509 -1.939336237760777 4.7453671600396 -5.421578864438388
59945 37050.0	-3452.8387117337584 4133.604455245132 4718.490938261064 -1.9020092493082517 4.700795910944409 -5.473038786510705
59945 37060.0	-3471.657079272168 4180.323004794242 4663.573081282097 -1.8644773636058252 4.6557172659457216 -5.523904270427433
59945 37070.0	-3490.1009298899903 4226.591907796361 4608.146420980194 -1.826744643203651 4.610136107866839 -5.574169807484135
59945 37080.0	-3508.1682259038153 4272.406108721224 4552.216908731633 -1.7888151724359433 4.564057373951629 -5.6238299539326135
59945 37090.0	-3525.8569699949608 4317.760600293205 4495.790551582585 -1.7506930569525316 4.5174860552978835 -5.672879331605568
59945 37100.0	-3543.165205430066 4362.650424021729 4438.873411659564 -1.7123824233009297 4.470427196348909 -5.721312628464355
59945 37110.0	-3560.0910163024605 4407.0706707905165 4381.471605494865 -1.673887418453045 4.4228858943145895 -5.769124599208537
59945 37120.0	-3576.632527744817 4451.01648137888 4323.591303424734 -1.6352122093830253 4.374867298652154 -5.81631006581011
59945 37130.0	-3592.787906161463 4494.483047040428 4265.238728901292 -1.596360982589308 4.326376610475172 -5.862863918107712
59945 37140.0	-3608.5553594329626 4537.46561001494 4206.420157878707 -1.5573379436684827 4.277419082023771 -5.908781114327052
59945 37150.0	-3623.9331371391886 4579.959464096234 4147.141918111888 -1.5181473168328712 4.228000016061859 -5.95405668165946
59945 37160.0	-3638.9195307557416 4621.959955134411 4087.410388530824 -1.4787933444805335 4.178124765336952 -5.998685716768379
59945 37170.0	-3653.5128738676976 4663.462481592588 4027.231998526312 -1.4392802867086372 4.127798731965889 -6.042663386352008
59945 37180.0	-3667.7115423577184 4704.462495039204 3966.6132273127873 -1.3996124208798384 4.077027366884563 -6.085984927635552
59945 37190.0	-3681.5139546103374 4744.955500693391 3905.5606032012683 -1.3597940411315628 4.025816169222315 -6.1286456489178
59945 37200.0	-3694.9185716916604 4784.93705790712 3844.0807029509187 -1.3198294579389422 3.974170685741836 -6.170640930048919
59945 37210.0	-3707.9238975440676 4824.402780698855 3782.1801510296063 -1.2797229976203144 3.9220965102025693 -6.2119662229606485
59945 37220.0	-3720.5284791574168 4863.348338225292 3719.86561895438 -1.2394790018968713 3.8695992827909564 -6.252617052129488
59945 37230.0	-3732.730906754034 4901.769455303067 3657.1438245399045 -1.199101827394559 3.8166846894731417 -6.292589015090294
59945 37240.0	-3744.529813952283 4939.661912873146 3594.021531222601 -1.1585958451970673 3.763358461411139 -6.331877782888033
59945 37250.0	-3755.923877936724 4977.021548493833 3530.5055473249276 -1.1179654403621089 3.709626374328484 -6.370479100557562
59945 37260.0	-3766.911819622996 5013.8442568270475 3466.602725313604 -1.0772150114360377 3.6554942478704406 -6.408388787594248
59945 37270.0	-3777.492403809195 5050.125990089595 3402.319961102397 -1.0363489699989403 3.600967945001827 -6.445602738386513
59945 37280.0	-3787.6644393325223 5085.862758531082 3337.664193294184 -0.9953717401728769 3.546053371353299 -6.482116922673992
59945 37290.0	-3797.426779215381 5121.050630886405 3272.6424024509975 -0.9542877581500498 3.4907564745911897 -6.517927385977536
59945 37300.0	-3806.7783208118913 5155.685734840676 3207.261610325003 -0.9131014716982137 3.4350832437540446 -6.5530302500399
59945 37310.0	-3815.718005940364 5189.764257454428 3141.528879146793 -0.8718173397042563 3.3790397086377997 -6.587421713224033
59945 37320.0	-3824.2448210234074 5223.282445628138 3075.4513108231786 -0.8304398316627121 3.3226319391038364 -6.621098050949329
59945 37330.0	-3832.357797210415 5256.236606512476 3009.0360462216013 -0.7889734272207365 3.265866044460732 -6.654055616070949
59945 37340.0	-3840.0560105074105 5288.623107959443 2942.2902643575258 -0.7474226156642347 3.208748172763185 -6.686290839298332
59945 37350.0	-3847.338581890355 5320.438378920716 2875.221181669547 -0.7057918954607585 3.1512845101857785 -6.717800229558739
59945 37360.0	-3854.204677424673 5351.678909885135 2807.836051196768 -0.6640857737434971 3.093481280313096 -6.748580374397844
59945 37370.0	-3860.6535083693534 5382.341253264847 2740.14216184499 -0.6223087658523929 3.0353447435058274 -6.778627940327285
59945 37380.0	-3866.68433128599 5412.422023818976 2672.1468375543286 -0.5804653948161183 2.9768811961823314 -6.80793967320719
59945 37390.0	-3872.296448133627 5441.917899027353 2603.857436556789 -0.5385601908916127 2.918096970177345 -6.836512398577603
59945 37400.0	-3877.489206367259 5470.825619500076 2535.281350534552 -0.49659769104433926 2.8589984320153734 -6.864343022022755
59945 37410.0	-3882.2619990236935 5499.141989341112 2466.4260038631924 -0.45458243848271906 2.799591982257053 -6.891428529488545
59945 37420.0	-3886.614264807483 5526.863876531293 2397.298852791075 -0.4125189821552411 2.7398840547906316 -6.917765987616767
